英雄,分路,胜率,日变化,出场率,第一轮禁用率,第二轮禁用率,赋权禁用率,禁用率,赋权BP率,BP率,巅峰均分,Q区国十,Q区国百,aq国十,aq国百,iq国十,iq国百,av国十,av国百,iv国十,iv国百,场均击杀,场均死亡,场均助攻,KDA,参团率,输出占比,分均输出,承伤占比,分均承伤,分均经济,局均经济,伤转,平均时长,控制时长,治疗量,对塔伤害,胜方MVP,败方MVP,MVP率,拿牌率,超神率,前期胜率,中期胜率,后期胜率
姜子牙,中路,44.1%,+0.47%,1.1%,0.0%,0.0%,0.0%,0.0%,1.1%,1.1%,"2,239","13,726","11,142","13,660","11,706","13,792","10,577","13,312","10,980","13,586","10,761",2.1,2.4,6.5,3.62,64.4%,23.8%,"5,777",12.0%,"2,751",602,"7,806",1.31,12:58,15.0s,"6,190","2,156",16.0%,6.0%,22.0%,30.0%,0.0%,40.1%,46.3%,52.3%
兰陵王,对抗路/打野,49.6%,-0.43%,1.1%,0.0%,0.0%,0.0%,0.0%,1.1%,1.1%,"2,244","14,610","11,180","14,823","11,718","14,396","10,642","12,987","11,096","13,286","10,577",4.8,4.6,4.8,2.07,60.6%,17.4%,"4,318",16.4%,"3,832",689,"9,531",0.84,13:50,18.9s,"19,401","2,623",6.3%,10.4%,16.7%,8.4%,8.3%,45.8%,49.5%,52.5%
刘禅,游走,46.4%,+0.68%,1.0%,0.0%,0.0%,0.0%,0.0%,1.0%,1.0%,"2,254","14,387","11,706","14,463","12,584","14,311","10,828","13,981","11,566","13,530","11,011",1.0,3.2,8.0,2.79,67.5%,10.4%,"2,435",32.0%,"8,359",527,"6,983",0.65,13:15,30.2s,"16,625","8,491",10.9%,10.9%,21.8%,34.8%,0.0%,45.9%,46.4%,51.2%
蒙犽,发育路,52.2%,+0.20%,1.0%,0.0%,0.0%,0.0%,0.0%,1.0%,1.0%,"2,250","14,599","12,105","14,670","12,584","14,528","11,625","14,658","12,366","14,252","11,810",3.5,3.0,5.5,3.02,60.8%,28.1%,"7,438",19.4%,"4,884",752,"10,127",1.25,13:28,2.4s,"34,873","13,251",15.9%,6.8%,22.7%,27.3%,6.8%,50.3%,54.4%,53.2%
刘备,打野,49.0%,+0.10%,1.0%,0.0%,0.0%,0.0%,0.0%,1.0%,1.0%,"2,218","14,207","11,825","14,530","12,584","13,884","11,065","13,884","12,066","13,426","11,218",4.8,2.5,3.6,3.39,59.2%,21.7%,"5,275",20.3%,"5,192",799,"10,134",0.92,12:41,6.2s,"13,514","13,731",15.6%,13.3%,28.9%,24.5%,8.9%,48.8%,51.5%,54.4%
亚连,对抗路,49.1%,+0.13%,1.0%,0.0%,0.0%,0.0%,0.0%,1.0%,1.0%,"2,246","14,419","11,947","14,738","12,597","14,099","11,297","14,311","12,182","14,244","11,151",3.3,3.4,3.7,2.02,47.4%,18.7%,"4,572",21.9%,"5,679",638,"8,804",0.97,13:48,9.5s,"16,581","1,868",2.3%,4.5%,6.8%,11.4%,0.0%,45.4%,51.8%,50.5%
吕布,对抗路,45.1%,-0.27%,0.9%,0.0%,0.0%,0.0%,0.0%,0.9%,0.9%,"2,243","14,317","11,810","14,634","12,425","14,000","11,194","13,920","11,913","14,280","11,297",2.3,3.5,4.7,2.01,52.5%,18.0%,"4,383",22.0%,"5,230",610,"8,479",0.96,13:54,7.4s,"21,706","3,370",2.5%,10.0%,12.5%,10.0%,0.0%,41.5%,47.7%,48.2%
伽罗,发育路,49.3%,+1.01%,0.8%,0.0%,0.0%,0.0%,0.0%,0.9%,0.9%,"2,229","14,707","11,842","15,102","12,407","14,311","11,277","14,244","11,841","14,902","11,424",3.8,3.1,4.8,2.77,60.3%,25.9%,"6,422",15.2%,"3,571",699,"9,297",1.23,13:18,6.3s,"11,919","13,166",10.5%,7.9%,18.4%,13.2%,10.5%,48.5%,50.4%,51.4%
阿轲,打野,50.0%,+1.18%,0.8%,0.0%,0.0%,0.0%,0.0%,0.8%,0.9%,"2,204","14,411","11,732","14,542","12,081","14,280","11,383","14,207","11,718","14,627","11,718",4.6,3.2,4.4,2.82,59.6%,17.9%,"4,549",17.6%,"4,345",744,"9,784",0.80,13:09,2.1s,"32,766","4,998",10.8%,5.4%,16.2%,18.9%,10.8%,45.5%,52.2%,52.0%
元流之子(法师),中路,46.0%,-0.69%,0.7%,0.0%,0.0%,0.0%,0.1%,0.8%,0.8%,"2,229","14,021","11,819","14,060","12,340","13,981","11,297","14,311","11,926","13,853","11,431",2.4,3.1,5.6,2.57,60.4%,25.8%,"6,119",14.9%,"3,582",635,"8,276",1.32,13:02,6.6s,"13,837","1,679",3.1%,9.4%,12.5%,12.5%,0.0%,42.9%,48.1%,53.9%
东皇太一,游走/对抗路,50.0%,+0.29%,0.6%,0.1%,0.1%,0.1%,0.1%,0.7%,0.8%,"2,259","13,319","11,197","13,829","11,950","12,809","10,443","13,649","11,273","13,717","10,815",2.6,4.5,7.1,2.15,56.8%,16.0%,"4,020",28.0%,"6,547",565,"8,061",0.97,14:16,18.5s,"42,922","1,340",6.9%,3.4%,10.3%,20.6%,0.0%,48.8%,48.2%,47.3%
妲己,中路,42.9%,+0.25%,0.7%,0.0%,0.0%,0.0%,0.1%,0.7%,0.7%,"2,253","14,047","11,638","14,396","12,096","13,698","11,179","13,884","11,492","14,209","11,297",2.9,4.0,5.2,2.04,60.3%,22.0%,"5,424",13.6%,"3,308",617,"8,401",1.17,13:37,16.6s,"6,250",561,3.3%,10.0%,13.3%,20.0%,0.0%,43.6%,47.7%,46.2%
米莱狄,中路,44.8%,+0.29%,0.6%,0.0%,0.0%,0.0%,0.0%,0.6%,0.6%,"2,248","13,905","10,918","14,189","11,383","13,621","10,453","13,274","10,895","14,041","10,925",2.0,3.2,4.9,2.17,54.8%,26.5%,"5,980",12.5%,"3,023",615,"8,169",1.38,13:17,9.9s,"4,751","9,910",12.0%,20.0%,32.0%,28.0%,0.0%,49.7%,44.4%,40.2%
夏侯惇,对抗路/打野/游走,45.2%,-0.17%,0.5%,0.0%,0.0%,0.0%,0.0%,0.5%,0.5%,"2,240","13,457","10,703","13,317","11,297","13,597","10,109","13,646","10,840","13,884","10,285",1.2,2.7,4.2,2.00,49.9%,15.2%,"3,634",28.0%,"7,614",566,"6,886",0.83,12:10,27.1s,"19,997","2,407",0.0%,4.5%,4.5%,18.1%,0.0%,46.0%,46.2%,45.2%
牛魔,游走,46.8%,-0.03%,0.5%,0.0%,0.0%,0.0%,0.0%,0.5%,0.5%,"2,218","13,511","10,668","13,438","11,319","13,583","10,017","13,504","10,728","13,046","10,254",0.7,2.8,9.0,3.47,68.9%,8.8%,"2,129",26.5%,"5,854",501,"6,571",0.58,13:07,23.3s,"6,624",446,0.0%,0.0%,0.0%,0.0%,0.0%,42.1%,48.6%,47.8%
程咬金,对抗路,44.8%,-0.11%,0.3%,0.0%,0.0%,0.0%,0.0%,0.3%,0.3%,"2,218","13,344","10,928","13,884","11,535","12,804","10,321","13,322","11,218","12,688","10,559",2.2,3.5,2.8,1.40,35.4%,18.2%,"4,181",28.4%,"7,137",617,"7,692",0.95,12:28,3.1s,"120,820","3,455",0.0%,8.3%,8.3%,25.0%,0.0%,44.4%,45.0%,46.0%
明世隐,游走,46.1%,-0.12%,0.2%,0.0%,0.0%,0.0%,0.0%,0.2%,0.2%,"2,227","12,983","9,219","13,151","9,868","12,814","8,570","12,572","9,461","12,194","9,164",0.8,2.3,8.0,3.89,52.5%,9.0%,"2,165",20.1%,"4,834",505,"7,306",0.55,14:28,0.0s,"66,074",857,0.0%,0.0%,0.0%,25.0%,0.0%,37.3%,46.7%,46.8%
